id,code,language,green_score,energy_wh,co2_g,cpu_time_ms,memory_mb,complexity,duration,emissions,emissions_rate,energy_consumed,country_name,region,cloud_provider,cloud_region,os,cpu_model,gpu_model,ram_total_size,tracking_mode,on_cloud,pue
1298,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,84.39,0.021684,4.673459,0.7697,3.261,2,0.162,5.06E-06,1.17E-07,0.00391248,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.625
1299,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,49.35,0.048853,11.887068,2.2755,7.825,3,0.345,1.19E-05,2.44E-07,0.00921948,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.475
1300,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,81.11,0.022993,5.657569,1.0764,3.669,2,0.1541,4.57E-06,9.90E-08,0.00320991,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.377
1301,"def efficient_sum(numbers):
    return sum(numbers)
",python,86.69,0.016508,4.555098,0.7489,3.338,1,0.1958,4.00E-06,1.10E-07,0.00467763,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.423
1302,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,42.15,0.056852,13.665891,2.7294,9.73,3,0.4596,1.35E-05,3.08E-07,0.01101008,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.841
1303,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,40.06,0.058716,14.516605,2.8872,10.184,5,0.5101,1.51E-05,3.03E-07,0.00957101,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.635
1304,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,45.74,0.062769,11.972547,2.2404,8.823,5,0.4042,1.32E-05,2.93E-07,0.00775757,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.618
1305,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,47.2,0.049499,12.026599,2.0196,8.09,3,0.3724,1.21E-05,2.49E-07,0.00979901,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.486
1306,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,48.53,0.052746,12.004174,2.2091,7.812,3,0.3113,1.06E-05,2.34E-07,0.01035696,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.524
1307,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,50.63,0.054757,9.958104,2.3409,7.238,3,0.3654,9.78E-06,2.40E-07,0.00777086,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.534
1308,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,50.41,0.043716,12.936179,2.1311,8.792,3,0.3307,1.27E-05,2.81E-07,0.01019272,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.55
1309,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,41.56,0.055216,13.759511,2.5783,9.521,4,0.4513,1.41E-05,3.14E-07,0.01033335,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.851
1310,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,46.82,0.04897,12.537098,2.1689,8.13,3,0.3403,1.16E-05,2.58E-07,0.00940646,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.517
1311,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,44.1,0.058513,14.086029,2.5675,8.158,4,0.3862,1.32E-05,2.91E-07,0.00927594,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.699
1312,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,44.11,0.05679,12.430965,2.4586,11.888,4,0.5525,1.54E-05,3.31E-07,0.01060085,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.525
1313,"def efficient_sum(numbers):
    return sum(numbers)
",python,78.24,0.018455,4.795388,0.8064,2.731,1,0.2094,4.51E-06,1.07E-07,0.00390571,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.437
1314,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,48.66,0.051879,11.989702,2.2688,7.999,3,0.3569,1.16E-05,2.53E-07,0.00890123,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.442
1315,"def efficient_sum(numbers):
    return sum(numbers)
",python,88.42,0.021341,5.040389,0.7124,2.556,1,0.2076,4.99E-06,9.50E-08,0.00422652,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.345
1316,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,39.73,0.05033,11.890878,2.612,9.353,3,0.3913,1.40E-05,2.76E-07,0.00782081,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.623
1317,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,95.06,0.018633,5.857513,1.0218,2.933,2,0.1834,5.36E-06,1.17E-07,0.00427488,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.655
1318,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,97.41,0.020574,4.959615,0.7532,2.902,2,0.1701,4.02E-06,8.00E-08,0.0030716,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.645
1319,"def efficient_sum(numbers):
    return sum(numbers)
",python,81.71,0.020761,4.76287,0.8166,2.993,1,0.2012,4.98E-06,9.70E-08,0.00410287,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.46
1320,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,47.85,0.04948,11.572457,2.127,8.272,3,0.3392,1.26E-05,2.51E-07,0.0093269,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.46
1321,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,43.45,0.050454,12.729231,3.0416,9.485,4,0.5139,1.32E-05,3.34E-07,0.0099433,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.72
1322,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,77.82,0.019934,5.684983,0.8221,3.226,2,0.1923,4.66E-06,1.20E-07,0.00415751,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.732
1323,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,47.09,0.051194,15.569822,2.3606,7.615,3,0.4487,1.62E-05,3.13E-07,0.0101945,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.8
1324,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,39.39,0.056139,13.555801,2.846,10.914,4,0.5257,1.60E-05,2.71E-07,0.00917415,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.586
1325,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,86.3,0.018207,4.697692,0.7247,2.841,2,0.1513,4.05E-06,9.30E-08,0.00314329,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.535
1326,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,53.8,0.06576,15.30736,2.5905,8.619,4,0.453,1.47E-05,2.58E-07,0.00795607,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.751
1327,"def efficient_sum(numbers):
    return sum(numbers)
",python,81.3,0.021876,5.390515,0.8457,2.806,1,0.1857,4.53E-06,1.06E-07,0.0036993,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.333
1328,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,41.58,0.053063,9.647532,2.2094,8.571,3,0.374,1.33E-05,2.51E-07,0.00901185,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.467
1329,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,93.64,0.019144,4.754389,0.6453,3.013,2,0.1399,4.07E-06,8.30E-08,0.00276568,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.664
1330,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,87.51,0.018729,4.484681,0.7047,2.801,2,0.148,3.81E-06,9.30E-08,0.00299093,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.607
1331,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,41.14,0.060006,14.424955,2.7661,9.563,3,0.451,1.46E-05,2.93E-07,0.01013665,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.716
1332,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,44.42,0.051805,11.372291,2.1332,6.937,3,0.3698,1.06E-05,2.61E-07,0.00819053,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.521
1333,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,76.51,0.018047,4.244302,0.722,2.424,2,0.1355,3.71E-06,8.50E-08,0.00267537,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.663
1334,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,79.85,0.019878,5.101431,0.9355,3.448,2,0.1991,5.58E-06,1.03E-07,0.00376889,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.725
1335,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,40.09,0.070278,14.339978,2.8871,8.565,5,0.5511,1.75E-05,3.41E-07,0.01050442,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.538
1336,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,44.28,0.055532,15.194412,3.3066,11.691,4,0.4149,1.33E-05,2.95E-07,0.00991604,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.555
1337,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,49.93,0.061414,15.423682,2.2979,10.624,5,0.3706,1.35E-05,2.70E-07,0.00894302,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.88
1338,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,93.14,0.019418,5.269813,0.8908,3.213,2,0.2063,5.58E-06,8.80E-08,0.00450168,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.776
1339,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,42.28,0.059429,11.100972,2.1624,8.775,4,0.3726,1.37E-05,3.19E-07,0.00964769,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.67
1340,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,87.05,0.021348,5.181439,0.911,3.075,2,0.1785,5.16E-06,1.07E-07,0.00378332,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.646
1341,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,46.47,0.049557,12.047028,2.1128,8.351,3,0.3671,1.15E-05,2.45E-07,0.00883918,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.453
1342,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,39.77,0.057451,12.129017,2.7924,10.018,4,0.4099,1.33E-05,3.13E-07,0.01140909,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.727
1343,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,50.58,0.043198,13.626974,1.8901,8.51,3,0.3047,1.37E-05,2.35E-07,0.00942697,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.485
1344,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,40.65,0.04954,10.439815,1.9231,6.994,3,0.332,1.13E-05,2.89E-07,0.01095158,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.48
1345,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,78.04,0.021328,5.368188,1.0028,3.09,2,0.2034,4.55E-06,1.22E-07,0.00393074,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.68
1346,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,34.78,0.057087,13.20165,3.3123,9.793,4,0.5748,1.46E-05,2.61E-07,0.00968645,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.678
1347,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,40.7,0.051033,14.766455,2.5852,9.709,4,0.4112,1.35E-05,3.12E-07,0.01033242,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.603
1348,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,45.65,0.052419,12.486284,2.3842,8.854,4,0.4144,1.31E-05,2.93E-07,0.00929794,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.632
1349,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,41.57,0.058277,15.162258,2.9212,9.664,4,0.4849,1.48E-05,2.86E-07,0.01004006,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.573
1350,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,51.09,0.056357,13.992509,2.3813,7.297,3,0.4116,1.03E-05,2.58E-07,0.00875669,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.572
1351,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,45.08,0.061916,13.310636,2.6053,8.93,4,0.445,1.47E-05,2.83E-07,0.01006615,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.732
1352,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,72.32,0.02538,5.698114,1.1154,3.718,2,0.1663,4.91E-06,1.07E-07,0.00279085,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.362
1353,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,81.81,0.022459,5.766218,1.0603,3.406,2,0.1604,4.88E-06,9.60E-08,0.00304387,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.46
1354,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,44.72,0.064292,15.343064,2.7939,8.823,4,0.5649,1.35E-05,3.32E-07,0.0098853,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.526
1355,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,42.88,0.063589,15.563375,2.9027,9.655,5,0.489,1.36E-05,3.13E-07,0.0096508,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.633
1356,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,100,0.021579,5.07887,0.9972,3.556,2,0.191,5.65E-06,1.13E-07,0.00374407,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.703
1357,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,83.23,0.016686,4.414397,0.7506,2.889,2,0.1752,4.63E-06,9.00E-08,0.00332151,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.656
1358,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,34.72,0.054081,16.411271,3.3727,11.436,3,0.5953,1.60E-05,3.56E-07,0.01131918,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.563
1359,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,44.83,0.054359,13.636881,2.5179,9.105,5,0.4174,1.35E-05,2.76E-07,0.0092857,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.661
1360,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,44.03,0.056398,13.132526,2.549,8.616,5,0.3966,1.34E-05,2.83E-07,0.00883476,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.727
1361,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,88.58,0.022517,6.838683,1.3072,3.009,2,0.185,4.80E-06,7.90E-08,0.00365581,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.373
1362,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,88.98,0.02085,4.165406,0.7552,3.801,2,0.1595,4.24E-06,1.31E-07,0.00313688,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.685
1363,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,92.94,0.019865,4.620468,0.9876,3.066,2,0.1568,4.29E-06,1.21E-07,0.00321041,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.73
1364,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,90.14,0.016757,4.172236,0.7834,2.545,2,0.13,4.34E-06,9.40E-08,0.00261844,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.65
1365,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,38.36,0.06723,17.483465,3.273,9.861,5,0.4387,1.64E-05,2.46E-07,0.00975549,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.619
1366,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,82.72,0.022804,5.821385,1.1374,3.363,2,0.1643,4.72E-06,9.50E-08,0.00327516,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.382
1367,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,75.15,0.023281,4.864696,0.959,2.574,2,0.1696,5.62E-06,1.19E-07,0.00323551,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.653
1368,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,82.97,0.019508,4.392958,0.6913,2.922,2,0.1357,3.68E-06,9.80E-08,0.00301723,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.592
1369,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,42.13,0.059852,15.322355,2.5585,10.294,5,0.4859,1.43E-05,3.24E-07,0.00994212,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.784
1370,"def efficient_sum(numbers):
    return sum(numbers)
",python,70.11,0.01831,5.72001,0.7507,3.327,1,0.1718,5.74E-06,1.14E-07,0.00455719,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.387
1371,"def efficient_sum(numbers):
    return sum(numbers)
",python,81.01,0.019338,4.760139,0.7971,3.014,1,0.2021,4.99E-06,1.04E-07,0.00412678,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.46
1372,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,96.76,0.018026,4.523977,0.9973,3.067,2,0.1902,4.42E-06,1.18E-07,0.00370999,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.673
1373,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,90.41,0.02069,5.164305,0.9321,3.131,2,0.1868,5.05E-06,1.07E-07,0.00351356,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.767
1374,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,89.08,0.020881,5.136304,0.8857,3.636,2,0.1563,4.44E-06,1.07E-07,0.00392521,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.685
